1356986040000,1356985860000,315.317,1,4.25,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8139
1356986100000,1356985800000,311.319,1,4.25,4.25,315.317,1,4.25,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600
1356986280000,1356986040000,308.321,1,4.25,4.25,311.319,1,4.25,4.25,315.317,1,4.25,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8882
1356986220000,1356985920000,308.321,1,4.25,4.25,311.319,1,4.25,4.25,315.317,1,4.25,4.25,308.328,1,3.75,3.75,,,,,,,,,,,,,,,,,,,,,,,,,9027
1356986280000,1356985800000,308.321,1,4.25,4.25,311.319,1,4.25,4.25,315.317,1,4.25,4.25,308.328,1,3.75,3.75,313.317,1,3.75,3.75,,,,,,,,,,,,,,,,,,,,,9130
1356986340000,1356986160000,308.321,1,4.25,4.25,311.319,1,4.25,4.25,309.323,1,4.5,4.5,315.317,1,4.25,4.25,308.328,1,3.75,3.75,313.317,1,3.75,3.75,,,,,,,,,,,,,,,,,9299
1356986220000,1356985980000,307.334,1,4.5,4.5,308.321,1,4.25,4.25,311.319,1,4.25,4.25,309.323,1,4.5,4.5,315.317,1,4.25,4.25,308.328,1,3.75,3.75,313.317,1,3.75,3.75,,,,,,,,,,,,,9534
1356986160000,1356986100000,307.334,1,4.5,4.5,308.321,1,4.25,4.25,308.317,1,4.25,4.25,311.319,1,4.25,4.25,309.323,1,4.5,4.5,315.317,1,4.25,4.25,308.328,1,3.75,3.75,313.317,1,3.75,3.75,,,,,,,,,9670
1356986280000,1356985860000,307.334,1,4.5,4.5,313.319,1,4.5,4.5,308.321,1,4.25,4.25,308.317,1,4.25,4.25,311.319,1,4.25,4.25,309.323,1,4.5,4.5,315.317,1,4.25,4.25,308.328,1,3.75,3.75,313.317,1,3.75,3.75,,,,,9842
1356986280000,1356986040000,323.309,1,4.25,4.25,307.334,1,4.5,4.5,313.319,1,4.5,4.5,308.321,1,4.25,4.25,308.317,1,4.25,4.25,311.319,1,4.25,4.25,309.323,1,4.5,4.5,315.317,1,4.25,4.25,308.328,1,3.75,3.75,313.317,1,3.75,3.75,9982
1356986160000,1356986040000,371.341,1,4.25,4.25,323.309,1,4.25,4.25,307.334,1,4.5,4.5,313.319,1,4.5,4.5,308.321,1,4.25,4.25,308.317,1,4.25,4.25,311.319,1,4.25,4.25,309.323,1,4.5,4.5,315.317,1,4.25,4.25,308.328,1,3.75,3.75,10170
